"Tanggal","Hari","Nama Produk","Stok","Terjual"
"1/10/2025","Rabu","GETUK ORI 1 KG","41","26"
"1/10/2025","Rabu","GETUK ORIGINAL 1/2KG","80","56"
"1/10/2025","Rabu","GETUK ORIGINAL 1/4KG","92","64"
"1/10/2025","Rabu","GETUK RASA/MIX 1 KG","116","110"
"1/10/2025","Rabu","GETUK RASA/MIX 1/2KG","99","52"
"1/10/2025","Rabu","GETUK RASA/MIX 1/4KG","79","42"
"1/10/2025","Rabu","GETUK RASA DURIAN 1KG","106","14"
"1/10/2025","Rabu","GETUK RASA DURIAN 1/2KG","108","13"
"1/10/2025","Rabu","GETUK RASA DURIAN 1/4KG","76","15"
"1/10/2025","Rabu","GETUK BASAH 1/2KG","30","17"
"1/10/2025","Rabu","GETUK BASAH 1/4KG","85","17"
"1/10/2025","Rabu","SMALL ORI","50","43"
"1/10/2025","Rabu","SMALL RAWIT","37","16"
"1/10/2025","Rabu","SMALL PINK","115","37"
"1/10/2025","Rabu","SMALL FREE MAN","94","6"
"1/10/2025","Rabu","SMALL YELLOW","105","49"
"1/10/2025","Rabu","MEDIUM ORI","96","79"
"1/10/2025","Rabu","MEDIUM BAKAR","65","42"
"1/10/2025","Rabu","MEDIUM RAWIT","69","22"
"1/10/2025","Rabu","MEDIUM PINK","73","32"
"1/10/2025","Rabu","MEDIUM FREE MAN","43","15"
"1/10/2025","Rabu","MEDIUM YELLOW","83","42"
"1/10/2025","Rabu","JUMBO ORI","119","111"
"1/10/2025","Rabu","JUMBO RAWIT","36","20"
"1/10/2025","Rabu","JUMBO PINK","56","37"
"1/10/2025","Rabu","JUMBO BAKAR","72","25"
"1/10/2025","Rabu","JUMBO FREE MAN","110","36"
"1/10/2025","Rabu","JUMBO YELLOW","95","45"
"1/10/2025","Rabu","RAKSASA ORI","119","36"
"1/10/2025","Rabu","RAKSASA BAKAR","86","48"
"1/10/2025","Rabu","RAKSASA RAWIT","50","21"
"1/10/2025","Rabu","RAKSASA PINK","35","10"
"1/10/2025","Rabu","RAKSASA FREE MAN","78","21"
"1/10/2025","Rabu","RAKSASA YELLOW","34","15"
"1/10/2025","Rabu","SUPER JUMBO ORI","32","12"
"1/10/2025","Rabu","SUPER JUMBO BAKAR","90","29"
"1/10/2025","Rabu","SUPER JUMBO RAWIT","34","20"
"1/10/2025","Rabu","SUPER JUMBO PINK","107","45"
"1/10/2025","Rabu","SUPER JUMBO FREE MAN","77","48"
"1/10/2025","Rabu","SUPER JUMBO YELLOW","105","46"
"1/10/2025","Rabu","GHOSTING","119","66"
"1/10/2025","Rabu","GHOSTING FIRE SMALL","62","4"
"1/10/2025","Rabu","GHOSTING FIRE BIG","45","4"
"1/10/2025","Rabu","GHOSTING GREEN","42","19"
"1/10/2025","Rabu","MOZARELLA","64","16"
"1/10/2025","Rabu","JAHAT ORI","93","46"
"1/10/2025","Rabu","JAHAT BAKAR","71","21"
"1/10/2025","Rabu","SMALL SADIS","40","24"
"1/10/2025","Rabu","MEDIUM SADIS","105","56"
"1/10/2025","Rabu","JUMBO SADIS","92","32"
"1/10/2025","Rabu","SUPER JUMBO SADIS","95","29"
"1/10/2025","Rabu","RAKSASA SADIS","98","49"
"1/10/2025","Rabu","MEGA SADIS","52","29"
"1/10/2025","Rabu","MEGA ORI","45","18"
"1/10/2025","Rabu","Dage SACU varian","46","32"
"1/10/2025","Rabu","Dage SACU Ori","44","19"
"1/10/2025","Rabu","Mendoan SACU Ori","110","107"
"1/10/2025","Rabu","Mendoan SACU Varian","83","53"
"1/10/2025","Rabu","Mendoan Sacu Bakar","81","56"
"1/10/2025","Rabu","FREE MAN BIG","103","30"
"1/10/2025","Rabu","SACU JUMBO","77","53"
"1/10/2025","Rabu","SACU JUMBO SADIS","81","42"
"2/10/2025","Kamis","GETUK ORI 1 KG","64","39"
"2/10/2025","Kamis","GETUK ORIGINAL 1/2KG","35","18"
"2/10/2025","Kamis","GETUK ORIGINAL 1/4KG","103","63"
"2/10/2025","Kamis","GETUK RASA/MIX 1 KG","30","25"
"2/10/2025","Kamis","GETUK RASA/MIX 1/2KG","115","73"
"2/10/2025","Kamis","GETUK RASA/MIX 1/4KG","115","52"
"2/10/2025","Kamis","GETUK RASA DURIAN 1KG","90","22"
"2/10/2025","Kamis","GETUK RASA DURIAN 1/2KG","70","5"
"2/10/2025","Kamis","GETUK RASA DURIAN 1/4KG","36","4"
"2/10/2025","Kamis","GETUK BASAH 1/2KG","110","54"
"2/10/2025","Kamis","GETUK BASAH 1/4KG","46","10"
"2/10/2025","Kamis","SMALL ORI","37","24"
"2/10/2025","Kamis","SMALL RAWIT","72","42"
"2/10/2025","Kamis","SMALL PINK","113","62"
"2/10/2025","Kamis","SMALL FREE MAN","32","3"
"2/10/2025","Kamis","SMALL YELLOW","36","22"
"2/10/2025","Kamis","MEDIUM ORI","110","89"
"2/10/2025","Kamis","MEDIUM BAKAR","111","37"
"2/10/2025","Kamis","MEDIUM RAWIT","66","40"
"2/10/2025","Kamis","MEDIUM PINK","66","46"
"2/10/2025","Kamis","MEDIUM FREE MAN","45","25"
"2/10/2025","Kamis","MEDIUM YELLOW","33","13"
"2/10/2025","Kamis","JUMBO ORI","112","86"
"2/10/2025","Kamis","JUMBO RAWIT","81","42"
"2/10/2025","Kamis","JUMBO PINK","89","62"
"2/10/2025","Kamis","JUMBO BAKAR","99","39"
"2/10/2025","Kamis","JUMBO FREE MAN","61","19"
"2/10/2025","Kamis","JUMBO YELLOW","88","44"
"2/10/2025","Kamis","RAKSASA ORI","119","49"
"2/10/2025","Kamis","RAKSASA BAKAR","77","44"
"2/10/2025","Kamis","RAKSASA RAWIT","100","32"
"2/10/2025","Kamis","RAKSASA PINK","102","40"
"2/10/2025","Kamis","RAKSASA FREE MAN","71","13"
"2/10/2025","Kamis","RAKSASA YELLOW","84","36"
"2/10/2025","Kamis","SUPER JUMBO ORI","33","21"
"2/10/2025","Kamis","SUPER JUMBO BAKAR","119","47"
